text|rating|product_id|product_name
Sách rất hay, nội dung sâu sắc và bổ ích. Tuy nhiên giấy hơi bạc, in ấn chưa được đẹp lắm.|4|1|Đắc Nhân Tâm
Nội dung tuyệt vời, dịch thuật chuẩn xác. Bìa cứng đẹp, giấy tốt. Đóng gói cẩn thận, giao hàng nhanh.|5|1|Đắc Nhân Tâm
Câu chuyện hay, bài học ý nghĩa. Nhưng giá hơi đắt so với chất lượng giấy.|3|1|Đắc Nhân Tâm
Sách tuyệt vời! Nội dung dễ hiểu, phong cách viết hấp dẫn. Shop giao hàng rất nhanh.|5|2|Sapiens
Kiến thức phong phú, góc nhìn mới mẻ. Bìa đẹp, in ấn rõ nét. Đáng tiền!|5|2|Sapiens
Nội dung khá hay nhưng dịch hơi khó hiểu. Giấy tốt, bìa cứng sang trọng.|4|2|Sapiens
Sách rất chán, nội dung nhàm. Giấy mỏng, in mờ. Không đáng giá tiền.|1|3|Tuổi Trẻ Đáng Giá
Bài học hay, phù hợp tuổi trẻ. Tuy nhiên bìa bị rách một góc, đóng gói không cẩn thận.|3|3|Tuổi Trẻ Đáng Giá
Nội dung ổn, giá hợp lý. Giao hàng hơi chậm nhưng shop hỗ trợ nhiệt tình.|4|3|Tuổi Trẻ Đáng Giá
Cuốn sách tuyệt vời! Câu chuyện cảm động, thông điệp sâu sắc. Bìa đẹp, giấy dày dặn.|5|4|Nhà Giả Kim
Nội dung hay nhưng bản dịch chưa tốt. Nhiều lỗi chính tả. Giấy ổn.|3|4|Nhà Giả Kim
Truyện hay, dễ đọc. Bìa mềm nên hơi dễ cong. Giá tốt, giao nhanh.|4|4|Nhà Giả Kim
Sách rất bổ ích, kiến thức tâm lý học hay. In ấn đẹp, giấy tốt. Đóng gói kỹ.|5|5|Tâm Lý Học Về Tiền
Nội dung khô khan, khó hiểu. Giấy tốt nhưng giá hơi cao.|2|5|Tâm Lý Học Về Tiền
Hay lắm! Nhiều insight bổ ích. Bìa cứng đẹp. Ship nhanh, freeship nữa.|5|5|Tâm Lý Học Về Tiền
Sách ok, nội dung bình thường. Giấy hơi bạc, bìa mềm. Giá hợp lý.|3|6|Atomic Habits
Tuyệt vời! Thay đổi mindset hoàn toàn. Bản dịch chuẩn, dễ hiểu. Chất lượng in ấn tốt.|5|6|Atomic Habits
Nội dung hay nhưng đã đọc nhiều sách tương tự. Bìa đẹp, seal nguyên. Giao hàng cẩn thận.|4|6|Atomic Habits
Sách hay, viết dễ hiểu. Nhưng shop giao sai màu bìa. Phải liên hệ đổi trả.|3|7|Thinking Fast and Slow
Kiến thức sâu, nghiên cứu kỹ lưỡng. Dịch hơi khó nhưng chất lượng giấy tốt.|4|7|Thinking Fast and Slow
Nội dung quá khó, không phù hợp người mới. Giấy dày, in đẹp. Giá đắt.|2|7|Thinking Fast and Slow
Cuốn sách tuyệt vời cho lập trình viên! Code examples rõ ràng. Giấy tốt, bìa cứng.|5|8|Clean Code
Hay nhưng cũ rồi, có kiến thức outdated. Bìa hơi móp, có vết ố.|3|8|Clean Code
Must-read cho dev! Nội dung chất lượng. Giá hơi cao nhưng đáng đồng tiền.|5|8|Clean Code
Sách hay, dễ áp dụng. Bìa đẹp xinh, giấy thơm. Giao nhanh, đóng gói cute.|5|9|The Subtle Art
Nội dung thẳng thắn, thực tế. Dịch tốt. Giấy ổn, bìa mềm hơi cong góc.|4|9|The Subtle Art
Hay lắm! Perspective mới mẻ. Nhưng shop giao chậm, không báo trước.|4|9|The Subtle Art
Truyện cực kỳ hay và cảm động. Dịch đẹp, giữ được tinh thần gốc. In ấn chất lượng cao.|5|10|Tôi Thấy Hoa Vàng
Câu chuyện tuổi thơ đẹp. Bìa mềm, giấy hơi mỏng. Giá rẻ, đáng mua.|4|10|Tôi Thấy Hoa Vàng
Hay nhưng hơi buồn. Lỗi chính tả nhiều. Bìa bẩn, seal bong góc.|2|10|Tôi Thấy Hoa Vàng
Sách kinh tế hay! Phân tích sâu, dữ liệu cụ thể. Giấy dày, in rõ nét.|5|11|Kinh Tế Học Vĩ Mô
Nội dung hàn lâm, khó đọc. Bìa cứng đẹp nhưng giá quá cao.|2|11|Kinh Tế Học Vĩ Mô
Ổn cho sinh viên. Nhiều ví dụ thực tế. Giấy tốt, giao đúng hẹn.|4|11|Kinh Tế Học Vĩ Mô
Marketing căn bản hay! Dễ hiểu, thực chiến. Bìa xinh, giấy tốt. Ship hỏa tốc.|5|12|Marketing 4.0
Nội dung lỗi thời. Giấy bạc, in mờ. Không recommend.|1|12|Marketing 4.0
Case studies hay! Áp dụng được ngay. Giá hợp lý, đóng gói kỹ.|5|12|Marketing 4.0
Python cơ bản tốt cho newbie. Code rõ ràng. Bìa mềm, giấy ổn.|4|13|Python Crash Course
Hay nhưng thiếu practice. In ấn đẹp, bìa cứng. Giao nhanh.|4|13|Python Crash Course
Perfect cho beginner! Examples nhiều. Chất lượng in tốt. Giá hơi cao.|4|13|Python Crash Course
Triết lý sống hay! Thay đổi tư duy. Dịch tốt. Bìa đẹp, giấy dày.|5|14|Đời Ngắn Đừng Ngủ Dài
Nội dung ổn nhưng hơi chung chung. Giấy mỏng, bìa mềm. Giá ok.|3|14|Đời Ngắn Đừng Ngủ Dài
Motivate tốt! Đọc nhanh, dễ hiểu. Seal nguyên, bao sách kỹ.|5|14|Đời Ngắn Đừng Ngủ Dài
Văn học hay! Lối viết đẹp. Bản dịch xuất sắc. In ấn sang trọng.|5|15|Số Đỏ
Truyện hay nhưng hơi khó. Giấy tốt, bìa cứng. Đóng gói cẩn thận.|4|15|Số Đỏ
Kinh điển văn học. Nội dung sâu sắc. Giá hợp lý cho chất lượng.|5|15|Số Đỏ
Lịch sử Việt Nam hay! Nhiều tư liệu. Bìa đẹp, giấy dày. Hơi nặng.|5|16|Đại Việt Sử Ký
Nội dung học thuật, khô khan. In ấn tốt. Giá cao.|3|16|Đại Việt Sử Ký
Bổ ích cho người yêu sử. Dữ liệu phong phú. Giao hàng cẩn thận.|4|16|Đại Việt Sử Ký
Self-help hay! Practical advice. Dịch tốt, đọc dễ. Bìa xinh.|5|17|7 Thói Quen
Nội dung lặp lại nhiều. Giấy ổn. Giá hơi đắt.|3|17|7 Thói Quen
Classic! Must-read. Chất lượng in tốt. Đóng gói đẹp.|5|17|7 Thói Quen
